2024-05-16 00:11:05 [http-nio-8080-exec-6] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 00:11:07 [http-nio-8080-exec-6] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":2.063895834}
2024-05-16 01:12:40 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21718 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:12:40 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:12:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:12:41 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:12:41 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:12:41 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:12:41 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 509 ms
2024-05-16 01:12:41 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:12:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:12:41 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.065 seconds (process running for 1.293)
2024-05-16 01:12:42 [RMI TCP Connection(2)-192.168.0.218] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:12:42 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:12:42 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-16 01:13:35 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21737 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:13:35 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:13:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:13:36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:13:36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:13:36 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:13:36 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 473 ms
2024-05-16 01:13:36 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:13:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:13:36 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.01 seconds (process running for 1.211)
2024-05-16 01:13:37 [RMI TCP Connection(2)-192.168.0.218] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:13:37 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:13:37 [RMI TCP Connection(2)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 01:15:00 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21780 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:15:00 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:15:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:15:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:15:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:15:01 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:15:01 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 483 ms
2024-05-16 01:15:01 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:15:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:15:01 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.045 seconds (process running for 1.249)
2024-05-16 01:15:02 [RMI TCP Connection(3)-192.168.0.218] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:15:02 [RMI TCP Connection(3)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:15:02 [RMI TCP Connection(3)-192.168.0.218] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 01:16:46 [http-nio-8080-exec-9] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:16:47 [http-nio-8080-exec-1] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:16:47 [http-nio-8080-exec-9] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":0.883794666}
2024-05-16 01:16:48 [http-nio-8080-exec-1] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.003567}
2024-05-16 01:16:51 [http-nio-8080-exec-4] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:16:52 [http-nio-8080-exec-4] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":0.951459958}
2024-05-16 01:16:57 [http-nio-8080-exec-10] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 01:16:59 [http-nio-8080-exec-10] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":2.168984542}
2024-05-16 01:21:17 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21914 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:21:17 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:21:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:21:18 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:21:18 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:21:18 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:21:18 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 470 ms
2024-05-16 01:21:18 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:21:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:21:18 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.005 seconds (process running for 1.379)
2024-05-16 01:21:19 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:21:19 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:21:19 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 01:21:27 [http-nio-8080-exec-4] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.49125E-4}
2024-05-16 01:21:33 [http-nio-8080-exec-8] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":3.6708E-5}
2024-05-16 01:21:35 [http-nio-8080-exec-10] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":5.5375E-5}
2024-05-16 01:21:36 [http-nio-8080-exec-1] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":3.625E-5}
2024-05-16 01:21:37 [http-nio-8080-exec-2] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":3.8625E-5}
2024-05-16 01:23:01 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21959 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:23:01 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:23:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:23:02 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:23:02 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:23:02 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:23:02 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 465 ms
2024-05-16 01:23:02 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:23:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:23:02 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 0.987 seconds (process running for 1.182)
2024-05-16 01:23:03 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:23:03 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:23:03 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 01:24:07 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 21987 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:24:07 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:24:07 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:24:07 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:24:07 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:24:07 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:24:07 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 481 ms
2024-05-16 01:24:08 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:24:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:24:08 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.019 seconds (process running for 1.371)
